projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
8484;1558;EQUUS;participant;999900639;University of London;;HES;;;UK;Malet Street, Bloomsbury;London;WC1E 7HX;;;;;;;;;;
11773;FI1W0044;PACOMA;coordinator;;GSF - FORSCHUNGSZENTRUM FUER UMWELT UND GESUNDHEIT GMBH;;;;;DE;Ingolstaedter Landstrasse 1;NEUHERBERG;85764;http://mips.gsf.de;;;;;;;;;
8482;1550;DRAGON;coordinator;;TXT Ingegneria Informatica SpA;;;;;IT;Via Socrate 41;Milano;20128;;;;;;;;;;
8482;1550;DRAGON;participant;18550;DORNIER SYSTEM GMBH;;;;;DE;An der Bundesstraße 31;Friedrichshafen;88039;;;;;;;;;;
8482;1550;DRAGON;participant;897;GSI TECSI Software SA;;;;;FR;6 Cours Michelet;Paris la Défense;92064;;;;;;;;;;
8482;1550;DRAGON;participant;;University of Lancaster;;;;;UK;Bailrigg;Lancaster;LA1 4YW;;;;;;;;;;
8482;1550;DRAGON;participant;;UNIVERSITY COLLEGE OF WALES ABERYSTWYTH;;;;;UK;Penglais Campus, Cerediglon;ABERYSTWYTH;SY23 3BZ;;;;;;;;;;
8431;898;PHOX;participant;;SCANRAY A/S;;;;;DK;HAMMERHOLMEN 9-13;HVIDOVRE;2650;;;;;;;;;;
8431;898;PHOX;participant;;IRAM;;;;;FR;DOMAINE UNIVERSITAIRE DE GRENOBLE;SAINT-MARTIN-D'HERES;38406;;;;;;;;;;
8431;898;PHOX;participant;;GEC Engineering Research Centre;;;;;UK;"Cambridge Road
Whetstone";Leicester;LE8 3LH;;;;;;;;;;
8431;898;PHOX;coordinator;;Bias - Forschungs- und Entwicklungslabor Angewandte Strahltechnik GmbH;;;;;DE;2,Klagenfurter Strasse;Bremen;28359;;;;;;;;;;
8431;898;PHOX;participant;999848453;UNIVERSITAET DORTMUND;;HES;;;DE;Emil-Figge-Straße 74;Dortmund;44221;;;;;;;;;;
8534;887;ECIP;participant;923937611;Siemens AG;;;;;DE;Otto-Hahn-Ring 6;München;81739;;;;;;;;;;
8534;887;ECIP;coordinator;996058081;BULL SA;;;;;FR;AVENUE DE MALAKOFF;PARIS;75116;;;;;;;;;;
8534;887;ECIP;participant;42343;International Computers Ltd (ICL);;;;;UK;"Wenlock Way
West Gorton";Manchester;M12 5DR;;;;;;;;;;
8534;887;ECIP;participant;8106;PHILIPS DUPONT OPTICAL;;;;;NL;GROENENWOUDSEWEG;EINDHOVEN;5621 BA;;;;;;;;;;
8534;887;ECIP;participant;8106;PHILIPS DUPONT OPTICAL;;;;;NL;BUILDING HKJ Postbus 218;EINDHOVEN;5600 MD;;;;;;;;;;
8534;887;ECIP;participant;12803;Thomson Microelectronics Srl (SGS);;;;;IT;Via Carlo Olivetti;Agrate Brianza Milano;20041;;;;;;;;;;
8534;887;ECIP;participant;38437;Alcatel TITN;;;;;FR;"Avenue du Quebec
ZA Courtaboeuf";Les Ulis;91946;;;;;;;;;;
8399;393;ACORD;coordinator;48922;Alcatel Alsthom Recherche;;;;;FR;Route de Nozay;Marcoussis;91460;;;;;;;;;;
8399;393;ACORD;participant;12781;TRIUMPH ADLER AG;;;;;DE;NÜRNBERGSTRAßE;FÜRTH;90762;;;;;;;;;;
8399;393;ACORD;participant;996058081;Bull SA;;;;;FR;68 route de Versailles;Louveciennes;78430;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;18362;UNIVERSITEIT VAN TWENTE;;HES;;;NL;DRIENERLOLAAN Postbus 217;ENSCHEDE;7500 AE;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;68968;THOMSON CSF;;;;;FR;160 BOULEVARD DE VALMY;PARIS LA DEFENSE;92074;;;;;;;;;;
8648;1618;MODEL-DISPLAY;coordinator;917;OCE-NEDERLAND BV;;;;;NL;ST. URBANUSSTRAAT Postbus 101;VENLO;5900 MA;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;999907235;UNIVERSITE PARIS-SUD;;HES;;;FR;Rue de l'Ecole de Medecine;Paris;75006;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;;BARCO-INDUSTRIES NV;;;;;BE;PRESIDENT KENNEDY PARK 35;KORTRIJK;8500;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;;MYFRA SA;;;;;FR;83 AVENUE ARISTIDE BRIAND;MONTROUGE;92120;;;;;;;;;;
8648;1618;MODEL-DISPLAY;participant;36041;GEC-Marconi Materials Technology Ltd;;;;;UK;Elstree Way;Borehamwood;WD6 1RX;;;;;;;;;;
8651;925;CODING-256;participant;;Sepa Elettronica Automazione SpA;;;;;IT;Corso Giulio Cesare;TORINO;10154;;;;;;;;;;
8651;925;CODING-256;participant;999910824;TELEFONICA INVESTIGACION Y DESARROLLO;;PRC;;;ES;EMILIO VARGAS;MADRID;28043;;;;;;;;;;
8651;925;CODING-256;participant;;Philips Kommunikations Industrie AG;;;;;DE;Thurn-und-Taxis-Straße 10;Nürnberg;90411;;;;;;;;;;
8651;925;CODING-256;coordinator;38437;Alcatel TITN;;;;;FR;"Centre Villarceaux
Route de Nozay";Ville du Bois;91620;;;;;;;;;;
8651;925;CODING-256;participant;36041;GEC-Marconi Materials Technology Ltd;;;;;UK;Elstree Way;Borehamwood;WD6 1RX;;;;;;;;;;
8651;925;CODING-256;participant;;SOCIETE ANONYME DE TELECOMMUNICATIONS (SAT);;;;;FR;41 RUE CANTAGREL;PARIS;75631;;;;;;;;;;
8452;1519;ASSET;coordinator;928;PLESSEY RESEARCH;;;;;UK;TRAFALGAR ROAD BEESTON;NOTTINGHAM;NG9 1LA;;;;;;;;;;
8452;1519;ASSET;participant;;GESELLECHAFT FÜR PROZESSRECHNERPROGRAMMIERUNG MBH;;;;;DE;KOLPINGRING;München;8024;;;;;;;;;;
